geneId,label,H100,H080,H050,H030,H020,H010,H007,H005,H003,H000_adapt,H005_adapt,H010_adapt,H020_adapt,H030_adapt,H040_adapt,H050_adapt,H060_adapt,H070_adapt,H080_adapt,H090_adapt,H095_adapt
WBGene00005829,0,0.0,0.0,7.0,8.0,33.0,89.0,128.0,147.0,174.0,177.0,176.0,170.0,126.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005830,0,0.0,0.0,5.0,8.0,16.0,61.0,92.0,117.0,149.0,158.0,156.0,143.0,108.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005833,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005834,0,2.0,2.0,6.0,57.0,105.0,152.0,174.0,191.0,203.0,204.0,203.0,198.0,156.0,13.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00005835,0,1.0,1.0,7.0,30.0,66.0,140.0,165.0,179.0,201.0,201.0,200.0,198.0,139.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005841,0,0.0,3.0,12.0,34.0,104.0,143.0,164.0,184.0,206.0,204.0,203.0,195.0,155.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005842,0,0.0,3.0,11.0,30.0,78.0,138.0,150.0,168.0,192.0,198.0,195.0,188.0,147.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005843,0,,,,,,,,,,,,,,,,,,,,,
WBGene00005844,0,3.0,6.0,13.0,69.0,128.0,170.0,191.0,209.0,222.0,220.0,219.0,211.0,171.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00005845,0,2.0,4.0,9.5,37.0,91.0,155.0,174.0,186.0,201.5,200.0,199.0,195.5,140.5,16.0,3.5,1.0,1.0,1.0,0.5,0.5,0.5
WBGene00005854,0,3.0,6.0,10.0,22.0,71.0,130.0,154.0,177.0,191.0,188.0,187.0,180.0,138.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00005855,0,0.0,0.0,0.0,1.0,3.0,26.0,62.0,92.0,129.0,142.0,139.0,127.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005856,0,2.0,5.0,10.0,15.0,46.0,123.0,138.0,160.0,182.0,184.0,181.0,175.0,131.0,15.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00005858,0,1.0,3.0,24.0,47.0,80.0,148.0,180.0,192.0,209.0,212.0,211.0,200.0,159.0,40.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00005864,0,8.0,10.0,26.0,45.0,71.0,140.0,164.0,185.0,199.0,198.0,197.0,193.0,146.0,33.0,11.0,8.0,5.0,2.0,1.0,1.0,1.0
WBGene00005865,0,8.0,10.0,28.0,50.0,79.0,154.0,175.0,187.0,201.0,203.0,202.0,198.0,151.0,35.0,10.0,8.0,5.0,1.0,1.0,1.0,1.0
WBGene00005866,0,8.0,11.0,29.0,52.0,81.0,155.0,177.0,191.0,203.0,205.0,204.0,201.0,155.0,38.0,10.0,8.0,5.0,2.0,2.0,2.0,1.0
WBGene00005868,0,8.0,9.0,27.0,47.0,86.0,157.0,179.0,195.0,210.0,207.0,206.0,202.0,165.0,38.0,10.0,8.0,3.0,1.0,1.0,1.0,1.0
WBGene00005869,0,8.0,10.0,27.0,45.0,69.0,147.0,169.0,187.0,202.0,199.0,198.0,191.0,158.0,36.0,9.0,8.0,4.0,2.0,2.0,1.0,1.0
WBGene00005871,0,8.0,10.0,30.0,48.0,80.0,145.0,171.0,188.0,201.0,200.0,199.0,193.0,152.0,39.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0
WBGene00005874,0,1.0,2.0,29.0,49.0,81.0,152.0,171.0,181.0,197.0,202.0,201.0,197.0,152.0,32.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00005876,0,1.0,3.0,30.0,58.0,100.0,153.0,186.0,196.0,206.0,210.0,209.0,201.0,146.0,36.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00005877,0,0.0,4.0,32.0,65.0,107.0,163.0,181.0,190.0,203.0,213.0,212.0,204.0,156.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005879,0,,,,,,,,,,,,,,,,,,,,,
WBGene00005880,0,1.0,6.0,37.0,57.0,97.0,163.0,184.0,201.0,211.0,211.0,210.0,205.0,166.0,43.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00005881,0,1.0,7.0,35.0,64.0,103.0,161.0,184.0,200.0,215.0,217.0,216.0,211.0,174.0,44.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00005883,0,2.0,10.0,43.0,68.0,110.0,165.0,183.0,198.0,216.0,219.0,218.0,209.0,159.0,45.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00005884,0,2.0,20.0,43.0,72.0,120.0,176.0,189.0,203.0,216.0,221.0,220.0,218.0,171.0,45.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00005885,0,2.0,19.0,41.0,74.0,123.0,174.0,188.0,201.0,215.0,218.0,217.0,211.0,168.0,44.0,14.0,2.0,1.0,1.0,1.0,1.0,0.0
WBGene00005886,0,2.0,7.0,36.0,52.0,81.0,147.0,172.0,183.0,203.0,202.0,201.0,195.0,154.0,41.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00005888,0,3.0,9.0,31.0,57.0,89.0,154.0,180.0,193.0,201.0,198.0,197.0,190.0,155.0,40.0,9.0,3.0,3.0,2.0,2.0,2.0,1.0
WBGene00005889,0,3.0,9.0,30.0,57.0,87.0,151.0,176.0,191.0,203.0,206.0,205.0,200.0,157.0,41.0,8.0,3.0,3.0,2.0,2.0,2.0,1.0
WBGene00005890,0,3.0,7.0,35.0,59.0,95.5,153.0,178.0,193.0,203.5,202.0,201.0,192.5,161.0,42.0,5.5,3.0,3.0,1.0,1.0,0.0,0.0
WBGene00005891,0,3.0,7.0,33.0,57.0,91.0,156.0,176.0,191.0,206.0,211.0,210.0,201.0,169.0,41.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0
WBGene00005892,0,2.0,4.0,10.0,14.0,14.0,14.0,15.0,15.0,18.0,20.0,19.0,19.0,17.0,11.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0
WBGene00005893,0,2.0,7.0,9.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,10.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0
WBGene00005894,0,2.0,2.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
WBGene00005897,0,3.0,5.0,5.0,12.0,14.0,14.0,14.0,14.0,14.0,16.0,15.0,14.0,14.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
WBGene00005898,0,1.0,1.0,5.0,5.0,10.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,12.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00005899,0,3.0,4.0,5.0,10.0,12.0,14.0,14.0,14.0,15.0,16.0,15.0,15.0,14.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0
WBGene00005900,0,3.0,5.0,5.0,10.0,12.0,14.0,14.0,14.0,14.0,16.0,15.0,15.0,14.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00005901,0,1.0,1.0,1.0,4.0,12.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00005904,0,4.0,4.0,4.0,7.0,21.0,59.0,101.0,124.0,157.0,169.0,168.0,160.0,93.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0
WBGene00005907,0,7.0,12.0,16.0,35.0,51.0,69.0,79.0,84.0,91.0,97.0,96.0,96.0,81.0,18.0,12.0,5.0,2.0,1.0,0.0,0.0,0.0
WBGene00005908,0,2.0,3.0,15.0,20.0,41.0,62.0,72.0,75.0,80.0,88.0,87.0,86.0,57.0,16.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
WBGene00005909,0,7.0,10.0,16.0,37.0,54.0,75.0,83.0,95.0,110.0,119.0,118.0,118.0,100.0,20.0,13.0,5.0,3.0,1.0,1.0,1.0,1.0
WBGene00005910,0,5.0,8.0,16.0,16.0,27.0,62.0,68.0,78.0,83.0,87.0,86.0,85.0,73.0,16.0,12.0,6.0,6.0,3.0,0.0,0.0,0.0
WBGene00005911,0,5.0,5.0,15.0,16.0,34.0,61.0,69.0,77.0,86.0,88.0,87.0,86.0,75.0,16.0,8.0,6.0,3.0,3.0,1.0,1.0,1.0
WBGene00005912,0,3.0,10.0,16.0,32.0,50.0,68.0,80.0,82.0,87.0,91.0,90.0,90.0,72.0,17.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0
WBGene00005913,0,3.0,12.0,16.0,24.0,42.0,65.0,73.0,80.0,87.0,91.0,90.0,90.0,74.0,17.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0
WBGene00005914,0,0.0,2.0,15.0,20.0,35.0,57.0,66.0,71.0,76.0,80.0,79.0,79.0,63.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00005920,0,3.0,8.0,16.0,23.0,44.0,64.0,74.0,81.0,93.0,95.0,94.0,94.0,81.0,16.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0
WBGene00005924,0,1.0,1.0,1.0,15.0,39.0,64.0,65.0,67.0,71.0,72.0,71.0,70.0,58.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00005925,0,2.0,2.0,2.0,18.0,40.0,64.0,66.0,69.0,73.0,77.0,76.0,75.0,63.0,10.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00005926,0,,,,,,,,,,,,,,,,,,,,,
WBGene00005927,0,1.0,4.0,10.0,37.0,49.0,66.0,69.0,82.0,88.0,92.0,91.0,90.0,72.0,24.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00005929,0,5.0,5.0,6.0,25.0,41.0,62.0,71.0,78.0,89.0,96.0,95.0,94.0,72.0,9.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0
WBGene00005930,0,4.0,5.0,5.0,14.0,35.0,54.0,65.0,69.0,80.0,88.0,87.0,87.0,67.0,8.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0
WBGene00005931,0,4.0,5.0,5.0,14.0,32.0,58.0,65.0,75.0,89.0,88.0,87.0,87.0,54.0,6.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0
WBGene00005932,0,3.0,3.0,4.0,29.0,48.0,71.0,85.0,96.0,109.0,111.0,110.0,110.0,76.0,13.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0
WBGene00005933,0,3.0,3.0,6.0,6.0,9.0,40.0,49.0,53.0,59.0,63.0,62.0,62.0,52.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00005934,0,1.0,1.0,6.0,6.0,8.0,15.0,29.0,44.0,53.0,61.0,60.0,59.0,37.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00005935,0,1.0,1.0,5.0,6.0,7.0,9.0,19.0,26.0,34.0,41.0,40.0,40.0,25.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00005936,0,1.0,1.0,1.0,5.0,30.0,62.0,80.0,91.0,100.0,103.0,102.0,102.0,79.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00005937,0,4.0,4.0,5.0,24.0,41.0,67.0,71.0,78.0,86.0,86.0,85.0,85.0,64.0,14.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0
WBGene00005938,0,4.0,4.0,5.0,27.0,47.0,66.0,72.0,85.0,97.0,108.0,107.0,107.0,85.0,20.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0
WBGene00005939,0,3.0,3.0,13.0,41.0,64.0,81.0,85.0,88.0,99.0,100.0,99.0,99.0,80.0,35.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0
WBGene00005942,0,3.0,3.0,10.0,43.0,67.0,82.0,86.0,91.0,101.0,104.0,103.0,102.0,89.0,37.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0
WBGene00005945,0,3.0,3.0,12.0,46.0,66.0,83.0,84.0,88.0,100.0,105.0,104.0,102.0,84.0,31.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0
WBGene00005946,0,,,,,,,,,,,,,,,,,,,,,
WBGene00005947,0,11.0,14.0,17.0,37.0,58.0,79.0,85.0,91.0,96.0,103.0,102.0,101.0,84.0,30.0,15.0,7.0,2.0,1.0,1.0,1.0,1.0
WBGene00005949,0,0.0,0.0,0.0,8.0,14.0,28.0,38.0,50.0,63.0,67.0,66.0,64.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005950,0,2.0,11.0,22.0,48.0,69.0,81.0,94.0,103.0,114.0,114.0,113.0,113.0,90.0,34.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0
WBGene00005951,0,9.0,13.0,17.0,45.0,66.0,80.0,92.0,99.0,112.0,117.0,116.0,111.0,87.0,27.0,12.0,6.0,2.0,1.0,1.0,1.0,1.0
WBGene00005953,0,14.0,17.0,21.0,52.0,68.0,83.0,94.0,105.0,116.0,121.0,120.0,119.0,87.0,36.0,17.0,9.0,2.0,1.0,1.0,1.0,1.0
WBGene00005954,0,8.0,13.0,18.0,37.0,55.0,75.0,84.0,95.0,108.0,116.0,115.0,115.0,75.0,30.0,12.0,5.0,2.0,1.0,1.0,1.0,1.0
WBGene00005955,0,13.0,16.0,21.0,51.0,67.0,82.0,96.0,108.0,120.0,127.0,126.0,126.0,94.0,33.0,16.0,11.0,3.0,0.0,0.0,0.0,0.0
WBGene00005956,0,8.0,12.0,17.0,38.0,55.0,75.0,77.0,84.0,96.0,102.0,101.0,101.0,78.0,26.0,11.0,5.0,2.0,1.0,1.0,1.0,1.0
WBGene00005958,0,2.0,3.0,14.0,21.0,45.0,71.0,80.0,92.0,110.0,113.0,112.0,112.0,68.0,18.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0
WBGene00005959,0,6.0,9.0,12.5,29.5,41.5,55.5,66.0,77.5,93.5,99.5,98.5,97.0,57.0,24.5,9.0,6.5,1.5,0.5,0.5,0.5,0.5
WBGene00005964,0,2.0,3.0,12.0,29.0,29.0,32.0,40.0,51.0,69.0,81.0,80.0,80.0,65.0,22.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
WBGene00005965,0,0.0,0.0,0.0,6.0,23.0,30.0,30.0,30.0,36.0,44.0,43.0,42.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005967,0,2.0,2.0,19.0,29.0,29.0,32.0,38.0,52.0,64.0,78.0,77.0,76.0,54.0,29.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00005968,0,4.0,4.0,5.0,27.0,29.0,30.0,32.0,38.0,45.0,54.0,53.0,52.0,42.0,15.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00005969,0,2.0,4.0,5.0,29.0,29.0,30.0,31.0,31.0,41.0,48.0,47.0,46.0,41.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005970,0,,,,,,,,,,,,,,,,,,,,,
WBGene00005976,0,2.0,8.0,26.0,30.0,30.0,40.0,58.0,81.0,98.0,114.0,113.0,109.0,77.0,30.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00005977,0,5.0,10.0,22.0,30.0,30.0,36.0,48.0,67.0,93.0,102.0,101.0,101.0,74.0,27.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0
WBGene00005979,0,4.0,8.0,16.0,26.0,29.0,30.0,30.0,34.0,45.0,55.0,54.0,52.0,34.0,22.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0
WBGene00005984,0,4.0,10.0,23.0,28.0,30.0,37.0,69.0,94.0,118.0,127.0,126.0,126.0,100.0,26.0,11.0,4.0,4.0,2.0,1.0,1.0,1.0
WBGene00005986,0,2.0,2.0,2.0,2.0,2.0,18.0,33.0,41.0,50.0,57.0,56.0,56.0,47.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00005987,0,0.0,0.0,1.0,10.0,30.0,62.0,75.0,83.0,98.0,108.0,107.0,107.0,93.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005988,0,3.0,4.0,9.0,24.0,35.0,59.0,71.0,80.0,87.0,91.0,90.0,90.0,76.0,15.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0
WBGene00005989,0,3.0,3.0,9.0,28.0,37.0,57.0,68.0,71.0,83.0,87.0,86.0,86.0,71.0,13.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0
WBGene00005992,0,3.0,3.0,5.0,12.0,29.0,59.0,76.0,80.0,83.0,86.0,85.0,85.0,68.0,7.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0
WBGene00005993,0,3.0,3.0,5.0,12.0,30.0,52.0,59.0,63.0,74.0,78.0,77.0,77.0,58.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0
WBGene00005999,0,4.0,7.0,11.0,15.0,18.0,30.0,38.0,48.0,66.0,73.0,72.0,72.0,62.0,12.0,10.0,5.0,2.0,2.0,1.0,1.0,1.0
WBGene00006001,0,4.0,7.0,11.0,15.0,18.0,33.0,41.0,49.0,62.0,69.0,68.0,68.0,56.0,12.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0
WBGene00006002,0,3.0,3.0,12.0,18.0,19.0,41.0,51.0,58.0,66.0,70.0,69.0,69.0,60.0,16.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
WBGene00006003,0,1.0,5.0,11.0,15.0,19.0,32.0,37.0,48.0,61.0,65.0,64.0,64.0,50.0,12.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00006004,0,2.0,6.0,11.0,15.0,17.0,30.0,41.0,49.0,54.0,58.0,57.0,56.0,51.0,12.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00006007,0,5.0,8.0,10.0,18.0,29.5,43.5,58.5,66.0,78.0,86.5,85.5,84.5,59.5,11.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0
WBGene00006008,0,5.0,8.0,10.0,17.0,28.0,45.0,58.0,68.0,76.0,86.0,85.0,83.0,55.0,10.0,8.0,3.0,3.0,2.0,2.0,1.0,1.0
WBGene00006009,0,5.0,8.0,10.0,10.0,21.0,43.0,51.0,64.0,81.0,90.0,89.0,89.0,57.0,10.0,8.0,5.0,5.0,2.0,1.0,1.0,1.0
WBGene00006011,0,5.0,8.0,8.0,10.0,22.0,39.0,43.0,55.0,63.0,75.0,74.0,73.0,49.0,9.0,8.0,5.0,5.0,3.0,2.0,2.0,1.0
WBGene00006012,0,5.0,8.0,8.0,10.0,21.0,40.0,45.0,57.0,72.0,82.0,81.0,80.0,39.0,8.0,6.0,5.0,5.0,2.0,2.0,0.0,0.0
WBGene00006013,0,5.0,8.0,10.0,10.0,23.0,39.0,46.0,51.0,68.0,76.0,75.0,75.0,48.0,10.0,8.0,5.0,5.0,4.0,2.0,2.0,1.0
WBGene00006024,0,1.0,1.0,9.0,22.0,35.0,49.0,58.0,65.0,77.0,83.0,82.0,82.0,66.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00006025,0,2.0,3.0,3.0,17.0,23.0,45.0,61.0,78.0,95.0,105.0,104.0,104.0,87.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00006026,0,1.0,9.0,18.0,27.0,44.0,64.0,78.0,83.0,95.0,106.0,105.0,104.0,87.0,20.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00006027,0,3.0,6.0,17.0,26.0,42.0,61.0,71.0,83.0,90.0,101.0,100.0,99.0,71.0,19.0,9.0,3.0,2.0,2.0,1.0,1.0,1.0
WBGene00006028,0,2.0,5.0,17.0,26.0,36.0,62.0,75.0,88.0,102.0,106.0,105.0,105.0,83.0,18.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00006038,0,0.0,0.0,3.0,4.0,18.0,32.0,48.0,54.0,59.0,61.0,60.0,60.0,38.0,22.0,14.0,4.0,4.0,3.0,3.0,2.0,0.0
WBGene00006039,0,0.0,0.0,3.0,4.0,18.0,32.0,48.0,54.0,59.0,60.0,59.0,59.0,38.0,22.0,14.0,4.0,4.0,3.0,3.0,2.0,0.0
WBGene00006040,0,0.0,0.0,3.0,4.0,18.0,32.0,48.0,54.0,59.0,61.0,60.0,60.0,38.0,22.0,14.0,4.0,4.0,3.0,3.0,2.0,0.0
WBGene00006044,0,0.0,0.0,3.0,4.0,18.0,31.0,48.0,52.0,58.0,60.0,59.0,58.0,39.0,22.0,14.0,4.0,4.0,3.0,3.0,2.0,0.0
WBGene00006047,0,0.0,0.0,3.0,3.0,18.0,32.0,47.0,51.0,58.0,64.0,63.0,62.0,39.0,21.0,14.0,4.0,3.0,3.0,3.0,0.0,0.0
WBGene00006048,0,0.0,0.0,5.0,12.0,17.0,31.0,38.0,46.0,52.0,59.0,58.0,58.0,34.0,21.0,17.0,10.0,7.0,5.0,5.0,1.0,0.0
WBGene00006049,0,0.0,0.0,2.0,10.0,16.0,30.0,39.0,41.0,45.0,53.0,52.0,50.0,32.0,18.0,13.0,10.0,7.0,2.0,1.0,1.0,1.0
WBGene00006050,0,0.0,0.0,1.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
WBGene00006051,0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,11.0,9.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0
WBGene00006052,0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0
WBGene00006053,0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0
WBGene00006055,0,2.0,2.0,3.0,19.0,56.0,413.0,500.0,500.0,500.0,2057.0,2054.0,1997.0,193.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0
WBGene00006056,0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00006057,0,,,,,,,,,,,,,,,,,,,,,
WBGene00006059,0,7.0,122.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,2159.0,2137.0,1955.0,1509.0,33.0,7.0,3.0,2.0,2.0,2.0,1.0,1.0
WBGene00006061,0,33.0,81.0,177.0,412.0,500.0,500.0,500.0,500.0,500.0,971.0,970.0,962.0,564.0,219.0,74.0,15.0,2.0,1.0,1.0,1.0,0.0
WBGene00006065,0,1.0,14.0,145.0,197.0,472.0,501.0,501.0,501.0,501.0,945.0,944.0,926.0,417.0,160.0,48.0,1.0,1.0,1.0,1.0,1.0,0.0
WBGene00006066,0,23.0,36.0,159.0,253.0,501.0,501.0,501.0,501.0,501.0,915.0,914.0,900.0,526.0,161.0,82.0,25.0,6.0,2.0,1.0,1.0,1.0
WBGene00006069,0,1.0,2.0,44.0,126.0,185.0,342.0,384.0,414.0,445.0,457.0,455.0,451.0,302.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006070,0,7.0,12.0,49.0,163.0,259.0,400.0,428.0,450.0,468.0,464.0,462.0,454.0,353.0,60.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0
WBGene00006072,0,2.0,10.0,76.0,165.0,301.0,398.0,432.0,448.0,458.0,457.0,456.0,450.0,329.0,54.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00006073,0,3.0,10.0,60.0,110.0,163.0,328.0,377.0,402.0,432.0,433.0,432.0,424.0,279.0,50.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
WBGene00006075,0,1.5,4.0,27.5,52.5,68.5,174.5,217.5,244.5,288.5,311.5,310.5,296.5,149.0,31.0,1.5,1.0,0.5,0.5,0.0,0.0,0.0
WBGene00006076,0,3.0,11.0,57.0,104.0,145.0,302.0,363.0,393.0,419.0,431.0,430.0,423.0,301.0,65.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0
WBGene00006078,0,10.0,31.5,59.0,109.5,157.5,314.0,354.0,389.0,418.0,426.5,425.5,421.0,261.0,53.0,16.5,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00006080,0,10.0,33.0,58.0,122.0,213.0,365.0,405.0,426.0,443.0,442.0,441.0,431.0,306.0,61.0,19.0,9.0,6.0,3.0,2.0,1.0,1.0
WBGene00006081,0,10.0,32.0,61.0,118.0,214.0,365.0,404.0,426.0,441.0,443.0,442.0,438.0,310.0,62.0,19.0,9.0,6.0,3.0,2.0,1.0,1.0
WBGene00006082,0,1.0,10.0,49.0,116.0,217.0,373.0,406.0,426.0,445.0,446.0,445.0,435.0,319.0,49.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00006083,0,1.0,10.0,50.0,114.0,237.0,386.0,410.0,427.0,451.0,457.0,456.0,444.0,337.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00006084,0,6.0,29.0,68.0,117.0,203.0,368.0,404.0,427.0,444.0,447.0,446.0,443.0,317.0,66.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00006085,0,4.0,14.0,60.0,114.0,199.0,349.0,388.0,417.0,432.0,435.0,434.0,430.0,295.0,53.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0
WBGene00006086,0,7.0,19.0,63.0,118.0,210.0,359.0,393.0,418.0,443.0,446.0,445.0,441.0,306.0,53.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00006087,0,5.0,11.0,50.5,103.5,194.0,366.0,398.5,420.5,442.5,452.5,451.5,440.0,331.0,54.5,7.5,1.0,1.0,1.0,1.0,1.0,1.0
WBGene00006090,0,13.0,32.0,79.0,121.0,211.0,375.0,409.0,424.0,454.0,452.0,451.0,446.0,307.0,63.0,17.0,8.0,2.0,1.0,1.0,1.0,1.0
WBGene00006092,0,12.0,28.0,64.0,110.0,176.0,345.0,381.0,403.0,431.0,434.0,433.0,426.0,302.0,66.0,15.0,4.0,1.0,1.0,1.0,0.0,0.0
WBGene00006093,0,1.0,3.0,30.0,99.0,169.0,339.0,388.0,415.0,442.0,448.0,447.0,437.0,266.0,18.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
WBGene00006096,0,3.0,3.0,23.0,99.0,117.0,253.0,323.0,352.0,382.0,395.0,394.0,385.0,220.0,15.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
WBGene00006097,0,3.0,5.0,62.0,110.0,165.0,322.0,363.0,396.0,420.0,430.0,429.0,424.0,306.0,54.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0
WBGene00006098,0,2.0,6.0,70.0,103.0,199.0,354.0,393.0,421.0,446.0,457.0,456.0,440.0,300.0,63.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
